U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,low_plausibility_evidence_tier,original_tuna_prior_pair,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank,tuna_original_rank
,,P,False,False,,True,1,BCL2L11,198,394475cc5b09e2e0e97717eb7efd8e3a9a9abe5840a270058955914e57651e87,O43521,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-0.9792822400728861,0.7513763507207235,0.6817493438720703,-3.5083348751068115,-4.595956325531006,-3.6624865531921387,-3.922259251276652,21.0,8.0,27.0,103.0
,,P,False,False,,True,2,BAD,168,714a24434b02fc2e522a17668112b15546853e551c25e5ae45e91625d8aab59f,Q92934,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-1.266326904296875,0.3422282934188843,0.48476284742355347,-5.297192573547363,-4.641768932342529,-3.585045337677002,-4.508002281188965,41.0,17.0,41.0,296.0
,,P,False,False,,True,3,BBC3,193,7303d018c5b74b919ac27b3bdea3e46a1dc1220db7a0f53c160ae2ef5e1be807,Q9BXH1,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-0.21183940892418227,0.5386053224404653,0.7704581618309021,-4.871813774108887,-6.716676235198975,-7.890207767486572,-6.492899258931478,4.0,10.0,156.0,21.0
context,O43521,U,False,False,,False,4,NIPSNAP1,284,5e3531e92ee2c982350ba95a338be666498eb2aa8c0c899ecb4ffd403e9dd66b,Q9BPW8,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-2.6098485787709556,-1.5056082407633464,0.6720409989356995,-6.293422222137451,-8.833767890930176,-11.176069259643555,-8.76775312423706,230.0,152.0,357.0,112.0
context,O43521,U,False,False,,False,5,AKR1B15,316,2c7db613a1dcceebbdb6dc18f9a74481f063128359b8566ef054d2b33270efc1,C9JRZ8,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-4.329780737559001,-3.330482085545858,0.5214126110076904,-8.479865074157715,-10.733002662658691,-6.791844367980957,-8.668237368265787,437.0,400.0,344.0,269.0
context,O43521,U,False,False,,False,6,MRPS11,194,79e0b9ceb444979061abb5912e7a9400678af18bdc415dfb94ad7e5d0b337ba0,P82912,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-3.5504345099131265,-3.356760581334432,0.294565349817276,-6.9120869636535645,-11.59604263305664,-8.348679542541504,-8.952269713083902,379.0,404.0,368.0,439.0
context,O43521,U,False,False,,False,7,MRRF,262,6a64a32f8cbedb4f19929f6429cae441de99779189cd7d5894c64b0405a01220,Q96E11,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-3.2089523474375405,-2.68459145228068,0.46173757314682007,-5.813264846801758,-5.1840410232543945,-5.396321773529053,-5.464542547861735,331.0,338.0,91.0,330.0
context,O43521,U,False,False,,False,8,KLK6,244,95a6d9dafd4a6b80f49ae48dd3aba141b33684f70afe0af7128957d767e0840d,Q92876,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-2.589477062225342,-2.6603453954060874,0.5823783874511719,-5.833414077758789,-10.556319236755371,-7.933910846710205,-8.107881387074789,227.0,334.0,292.0,192.0
context,O43521,U,False,False,,False,9,RPS3,243,b19ed740e19349873e90269592156769a66f859091c1eb70c68ca36a287fa594,P23396,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-3.1305602391560874,-1.826558768749237,0.4020625948905945,-6.024247646331787,-6.079692840576172,-4.69165563583374,-5.598532040913899,317.0,206.0,98.0,375.0
context,O43521,U,False,False,,False,10,MRPS12,138,b41639f3703a7d412a67d4c0490af69ffa164ab108e6d24303202cc34245ffb8,O15235,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-2.360970973968506,-1.6740049918492634,0.4145432114601135,-6.027822971343994,-5.623915195465088,-8.881102561950684,-6.844280242919922,174.0,178.0,185.0,367.0
