U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,low_plausibility_evidence_tier,original_tuna_prior_pair,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank,tuna_original_rank
,,P,False,False,,False,1,RAF1,648,cccfc1d98eae3098eabc4172a1261029642e3f31e5bbc317cc8a820a75086f1d,P04049,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.1705057621002197,0.6731463670730591,0.6538791656494141,-6.406756401062012,-5.358791828155518,-4.7285308837890625,-5.498026371002197,80.0,15.0,21.0,35.0
,,P,False,False,,False,2,BRAF,766,1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274,P15056,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.3491066296895344,0.502097045381864,0.6733801364898682,-6.989221096038818,-5.755869388580322,-5.667314529418945,-6.137468338012695,108.0,22.0,49.0,20.0
,,P,False,False,,False,3,ARAF,606,39ad43cf31421ee66dcea16ed6c270c50e9b75b9984e56a6806f208b39ce4fe8,P10398,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.4294844071070354,0.0836472362279892,0.610946774482727,-6.2506489753723145,-5.872865200042725,-5.562870979309082,-5.895461718241374,122.0,45.0,33.0,76.0
context,P04049,U,False,False,,False,4,MKLN1,735,7dde3e4859ece8c79c51f62c4a2d9483066874a867412dfb646e074dae7879d2,Q9UL63,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-3.0350612799326577,-2.766869227091471,0.5633437037467957,-8.258810997009277,-7.875919342041016,-7.789964199066162,-7.974898179372151,362.0,328.0,179.0,136.0
context,P04049,U,False,False,,False,5,MEIOB,442,130ef1daef49448523d4ffc8ef50ad362a706c9bfa47f5213b7e8e485be00999,Q8N635,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.6200471719106038,-1.8939213355382283,0.4129266142845154,-6.764008522033691,-8.392796516418457,-9.094755172729492,-8.083853403727213,154.0,221.0,192.0,273.0
context,P04049,U,False,False,,False,6,RABGAP1,1069,9249267ca9dff3ccc4088cb24fe45166c2b2a0a3220da91fb4c40108fff6d59d,Q9Y3P9,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.015308399995168,1.0817764202753704,0.6950432062149048,-3.8925366401672363,-4.521440505981445,-4.037411689758301,-4.150462945302327,66.0,5.0,1.0,4.0
context,P04049,U,False,False,,False,7,G6PD,515,0725c9221fe1fd935ede4a747d0678459ca0e367b238a1dea22fc4874335cf8f,P11413,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-2.0379906495412192,-3.3187171618143716,0.5347724556922913,-10.430419921875,-9.163458824157715,-8.784504890441895,-9.459461212158203,226.0,384.0,301.0,164.0
context,P04049,U,False,False,,False,8,PIWIL2,973,f26a1301b4745efea3923791be1e58f985ef15422371da61856f5abe9f80dfe6,Q8TC59,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.757585088411967,-1.872117519378662,0.30317172408103943,-8.641060829162598,-7.150975704193115,-9.296310424804688,-8.3627823193868,174.0,217.0,213.0,373.0
context,P04049,U,False,False,,False,9,CAMKV,501,05bc38b39ec51739a68d039992f2eb6fc40539c069307cab3138dfddb2255bdf,Q8NCB2,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-2.9520676136016846,-2.519538084665934,0.47007399797439575,-8.440043449401855,-7.251145362854004,-7.800711154937744,-7.830633322397868,351.0,304.0,168.0,234.0
context,P04049,U,False,False,,False,10,TRIM6,488,6db31839bf4ff6ad8f407b3363dc8ce76e715bc469008724b098665de1881563,Q9C030,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.100307861963908,0.3763339122136434,0.3863135874271393,-8.814047813415527,-5.431337833404541,-8.727149963378906,-7.657511870066325,75.0,29.0,146.0,299.0
